x 0 1 2 3 4 5 6 7 
2210.000000 24.006543 78.466410 29.663011 12.998426 78.425366 55.170732 20.739143 20.739143 
2220.000000 24.130342 78.575552 29.818487 13.076753 78.531091 55.322086 20.832943 20.832943 
2230.000000 24.253687 78.652531 29.968787 13.158670 78.611725 55.453188 20.926742 20.926742 
2240.000000 24.373551 78.733369 30.122746 13.240084 78.693717 55.577894 21.020542 21.020542 
2250.000000 24.491712 78.818282 30.279836 13.320977 78.775709 55.714459 21.114342 21.114342 
2260.000000 24.610896 78.913647 30.435456 13.401697 78.867352 55.851157 21.208142 21.208142 
2270.000000 24.732084 78.987838 30.590367 13.483689 78.942267 55.975730 21.301942 21.301942 
2280.000000 24.851002 79.079934 30.740582 13.565695 79.031622 56.111096 21.395741 21.395741 
2290.000000 24.965380 79.156484 30.892724 13.648522 79.110897 56.246461 21.489541 21.489541 
2300.000000 25.079228 79.233462 31.042542 13.732577 79.183882 56.377430 21.583341 21.583341 
2310.000000 25.199471 79.329954 31.199487 13.812445 79.283102 56.505600 21.677141 21.677141 
2320.000000 25.319184 79.411274 31.346151 13.896084 79.361234 56.633105 21.770941 21.770941 
2330.000000 25.439048 79.485680 31.498052 13.978844 79.435649 56.761542 21.864741 21.864741 
2340.000000 25.556112 79.562766 31.653600 14.060068 79.514210 56.893177 21.958540 21.958540 
2350.000000 25.673328 79.636796 31.801588 14.143589 79.595630 57.027344 22.052340 22.052340 
2360.000000 25.787744 79.721065 31.956884 14.225659 79.674905 57.161243 22.146140 22.146140 
2370.000000 25.907267 79.804852 32.112216 14.307397 79.752323 57.287682 22.239940 22.239940 
2380.000000 26.025580 79.892605 32.265200 14.388960 79.839533 57.419450 22.333740 22.333740 
2390.000000 26.152822 79.971406 32.417306 14.470732 79.919309 57.548287 22.427540 22.427540 
2400.000000 26.276432 80.052727 32.567172 14.553218 79.996583 57.679922 22.521339 22.521339 
2410.000000 26.395388 80.129920 32.718483 14.635964 80.068639 57.807427 22.615139 22.615139 
2420.000000 26.510220 80.206416 32.872454 14.718669 80.146842 57.939062 22.708939 22.708939 
2430.000000 26.624939 80.283127 33.021923 14.802782 80.219398 58.063502 22.802739 22.802739 
2440.000000 26.747830 80.363322 33.179458 14.884239 80.299032 58.197135 22.896539 22.896539 
2450.000000 26.867959 80.438907 33.331263 14.966891 80.379308 58.331701 22.990339 22.990339 
2460.000000 26.987672 80.515725 33.495900 15.047084 80.454366 58.463469 23.084138 23.084138 
2470.000000 27.107195 80.592006 33.648704 15.129664 80.527923 58.604031 23.177938 23.177938 
2480.000000 27.230162 80.685871 33.805637 15.209313 80.625427 58.736998 23.271738 23.271738 
2490.000000 27.345070 80.791636 33.957285 15.289326 80.738014 58.883155 23.365538 23.365538 
2500.000000 27.469323 80.867650 34.108957 15.370595 80.820936 59.017721 23.459338 23.459338 
2510.000000 27.591646 80.960871 34.259834 15.451616 80.912006 59.155352 23.553138 23.553138 
2520.000000 27.709543 81.041066 34.412229 15.533696 80.988422 59.280991 23.646937 23.646937 
2530.000000 27.831980 81.136968 34.576108 15.611978 81.085140 59.417422 23.740737 23.740737 
2540.000000 27.959676 81.225633 34.735135 15.691306 81.172708 59.554387 23.834537 23.834537 
2550.000000 28.084118 81.302022 34.890551 15.772276 81.250054 59.685888 23.928337 23.928337 
2560.000000 28.207690 81.376641 35.045703 15.853065 81.331545 59.814192 24.022137 24.022137 
2570.000000 28.326722 81.455657 35.205152 15.933958 81.410106 59.943562 24.115937 24.115937 
2580.000000 28.444127 81.530706 35.357763 16.016697 81.483878 60.069335 24.209736 24.209736 
2590.000000 28.565429 81.612187 35.511096 16.098178 81.564082 60.193642 24.303536 24.303536 
2600.000000 28.679655 81.684288 35.668595 16.180363 81.638283 60.316217 24.397336 24.397336 
2610.000000 28.798801 81.760731 35.828682 16.261959 81.716558 60.442522 24.491136 24.491136 
2620.000000 28.917681 81.836476 35.981822 16.345247 81.789543 60.564564 24.584936 24.584936 
2630.000000 29.037318 81.911579 36.132002 16.428487 81.863028 60.698597 24.678736 24.678736 
2640.000000 29.161496 81.985716 36.285251 16.510722 81.938730 60.818774 24.772535 24.772535 
2650.000000 29.287754 82.066554 36.435936 16.591754 82.020507 60.952807 24.866335 24.866335 
2660.000000 29.407656 82.150716 36.594012 16.672728 82.103572 61.083376 24.960135 24.960135 
2670.000000 29.527899 82.232466 36.747635 16.754821 82.184063 61.214212 25.053935 25.053935 
2680.000000 29.648557 82.307407 36.902810 16.837310 82.259550 61.339851 25.147735 25.147735 
2690.000000 29.764260 82.386745 37.054891 16.919837 82.342971 61.472952 25.241535 25.241535 
2700.000000 29.888626 82.467315 37.212787 17.001146 82.422819 61.607651 25.335334 25.335334 
2710.000000 30.008528 82.547778 37.370142 17.081940 82.506241 61.746214 25.429134 25.429134 
2720.000000 30.125857 82.618913 37.522825 17.164521 82.579011 61.871587 25.522934 25.522934 
2730.000000 30.247992 82.695034 37.681010 17.245394 82.656857 61.999091 25.616734 25.616734 
2740.000000 30.364791 82.767671 37.838219 17.327311 82.727197 62.124065 25.710534 25.710534 
2750.000000 30.481061 82.842452 37.993407 17.409104 82.803328 62.251836 25.804334 25.804334 
2760.000000 30.599336 82.918573 38.146728 17.492151 82.878815 62.374011 25.898133 25.898133 
2770.000000 30.716552 82.992871 38.295692 17.575567 82.953444 62.497652 25.991933 25.991933 
2780.000000 30.836681 83.069313 38.451276 17.657684 83.026000 62.628620 26.085733 26.085733 
2790.000000 30.955107 83.146292 38.608269 17.739966 83.102917 62.751462 26.179533 26.179533 
2800.000000 31.078528 83.239728 38.771017 17.818577 83.195346 62.886561 26.273333 26.273333 
2810.000000 31.207018 83.315098 38.919727 17.900684 83.268402 63.004739 26.367133 26.367133 
2820.000000 31.323402 83.387092 39.072567 17.984022 83.344532 63.134775 26.460932 26.460932 
2830.000000 31.440882 83.466429 39.222542 18.066778 83.425667 63.261347 26.554732 26.554732 
2840.000000 31.558476 83.542657 39.375273 18.149656 83.501583 63.391117 26.648532 26.648532 
2850.000000 31.678946 83.617706 39.524357 18.232629 83.579143 63.520353 26.742332 26.742332 
2860.000000 31.798621 83.694792 39.678461 18.314851 83.651842 63.648791 26.836132 26.836132 
2870.000000 31.916139 83.768232 39.831806 18.397428 83.730546 63.768701 26.929932 26.929932 
2880.000000 32.035549 83.842423 39.986295 18.479684 83.805103 63.891010 27.023731 27.023731 
2890.000000 32.156927 83.913398 40.143240 18.561080 83.875229 64.027707 27.117531 27.117531 
2900.000000 32.276337 84.007263 40.298416 18.640895 83.967086 64.166670 27.211331 27.211331 
2910.000000 32.397223 84.080971 40.446777 18.724358 84.043788 64.293508 27.305131 27.305131 
2920.000000 32.516595 84.167653 40.598341 18.806035 84.138862 64.427009 27.398931 27.398931 
2930.000000 32.636459 84.241308 40.744993 18.890161 84.215564 64.556378 27.492731 27.492731 
2940.000000 32.755226 84.317107 40.905513 18.971646 84.290980 64.690278 27.586530 27.586530 
2950.000000 32.873690 84.388993 41.056957 19.055190 84.365394 64.820448 27.680330 27.680330 
2960.000000 32.991738 84.464846 41.212216 19.137520 84.439094 64.955280 27.774130 27.774130 
